First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 423:  422.97s -  432.97s | Prob: 0.0001
Window 424:  423.97s -  433.97s | Prob: 0.0001
Window 425:  424.97s -  434.97s | Prob: 0.0001
Window 426:  425.97s -  435.97s | Prob: 0.0001
Window 427:  426.97s -  436.97s | Prob: 0.0001
Window 428:  427.97s -  437.97s | Prob: 0.0001
Window 429:  428.97s -  438.97s | Prob: 0.0000
Window 430:  429.97s -  439.97s | Prob: 0.0000
Window 431:  430.97s -  440.97s | Prob: 0.0000
Window 432:  431.97s -  441.97s | Prob: 0.0000
Window 433:  432.97s -  442.97s | Prob: 0.0000
Window 434:  433.97s -  443.97s | Prob: 0.0003
Window 435:  434.97s -  444.97s | Prob: 0.0003
Window 436:  435.97s -  445.97s | Prob: 0.0003
Window 437:  436.97s -  446.97s | Prob: 0.0002
Window 438:  437.97s -  447.97s | Prob: 0.0002
Window 439:  438.97s -  448.97s | Prob: 0.0002
Window 440:  439.97s -  449.97s | Prob: 0.0002
Window 441:  440.97s -  450.97s | Prob: 0.0001
Window 442:  441.97s -  451.97s | Prob: 0.0002
Window 443:  442.97s -  452.97s | Prob: 0.0002
Window 444:  443.97s -  453.97s | Prob: 0.0002
Window 445:  444.97s -  454.97s | Prob: 0.0001
Window 446:  445.97s -  455.97s | Prob: 0.0001
Window 447:  446.97s -  456.97s | Prob: 0.0001
Window 448:  447.97s -  457.97s | Prob: 0.0001
Window 449:  448.97s -  458.97s | Prob: 0.9976
Window 450:  449.97s -  459.97s | Prob: 0.9990
Window 451:  450.97s -  460.97s | Prob: 0.9966
Window 452:  451.97s -  461.97s | Prob: 0.9935
Window 453:  452.97s -  462.97s | Prob: 0.9830
Window 454:  453.97s -  463.97s | Prob: 0.5147
Window 455:  454.97s -  464.97s | Prob: 0.0002
